Ref,Val,Package,PosX,PosY,Rot,Side
"D1","Pwr_L.E.D","D_0805",52.696000,-80.364200,90.000000,top
"D3","Pwr_L.E.D","D_0805",32.065000,-51.615300,270.000000,top
"D4","Bat_Low","D_0805",32.087800,-59.454800,270.000000,top
"D6","Pwr_L.E.D","D_0805",42.336700,-82.560200,90.000000,top
"E1","YC0009AA","XCVR_YC0009AA",26.291500,-88.005900,180.000000,top
"R10","1K","R_0805",36.675000,-47.246500,0.000000,top
"U2","Ra-01","LoRa",32.204700,-80.256400,90.000000,top
